Date,Workout,,,,,,,,
2015-11-04 19:21,91,,,,,,,,
2015-11-04 19:21,91,,,,,,,,
2015-11-04 19:21,91,,,,,,,,
2015-11-04 19:21,265,,,,,,,,
2015-11-04 19:21,265,,,,,,,,
2015-11-04 19:21,197,,,,,,,,
2015-11-04 19:21,197,,,,,,,,
2015-11-04 19:21,197,,,,,,,,
2015-11-04 19:21,197,,,,,,,,
2015-11-04 19:21,197,,,,,,,,
2015-11-04 19:21,197,,,,,,,,
2015-11-04 19:21,225,,,,,,,,
2015-11-04 19:21,225,,,,,,,,
2015-11-04 19:21,225,,,,,,,,
2015-11-04 19:21,225,,,,,,,,
2015-11-04 19:21,265,,,,,,,,
2015-11-04 19:21,265,,,,,,,,
2015-11-06 16:48,274,,,,,,,,
2015-11-06 16:48,274,,,,,,,,
2015-11-06 16:48,274,,,,,,,,
2015-11-06 16:48,182,,,,,,,,
2015-11-06 16:48,182,,,,,,,,
2015-11-06 16:48,182,,,,,,,,
2015-11-06 16:48,148,,,,,,,,
2015-11-06 16:48,148,,,,,,,,
2015-11-06 16:48,148,,,,,,,,
2015-11-06 16:48,231,,,,,,,,
2015-11-06 16:48,231,,,,,,,,
2015-11-06 16:48,231,,,,,,,,
2015-11-06 16:48,231,,,,,,,,
2015-11-06 16:48,274,,,,,,,,
2015-11-06 16:48,274,,,,,,,,
2015-11-06 16:48,274,,,,,,,,
2015-11-06 16:48,66,,,,,,,,
2015-11-06 16:48,66,,,,,,,,
2015-11-06 16:48,66,,,,,,,,
2015-11-06 16:48,148,,,,,,,,
2015-11-06 16:48,148,,,,,,,,
2015-11-06 16:48,148,,,,,,,,
2015-11-06 16:48,231,,,,,,,,
2015-11-06 16:48,231,,,,,,,,
2015-11-06 16:48,231,,,,,,,,
2015-11-06 16:48,231,,,,,,,,
2015-11-08 12:37,197,,,,,,,,
2015-11-08 12:37,197,,,,,,,,
2015-11-08 12:37,197,,,,,,,,
2015-11-08 12:37,197,,,,,,,,
2015-11-08 12:37,197,,,,,,,,
2015-11-08 12:37,91,,,,,,,,
